mc,L,F,q,s_max_den,n_density,iteration
2,50,2,200,0.0024,0.0008163265306122449,1832980710
2,50,2,200,0.0024,0.0010204081632653062,2335721469
2,50,2,200,0.0024,0.0010204081632653062,2976351441
2,50,2,200,0.0024,0.0010204081632653062,3792690190
2,50,2,200,0.0024,0.0010204081632653062,4832930238
2,50,2,200,0.0024,0.0008163265306122449,6158482110
2,50,2,200,0.0024,0.0010204081632653062,7847599703
2,50,2,300,0.0008,0.03510204081632653,1
2,50,2,300,0.0008,0.03510204081632653,2
2,50,2,300,0.0008,0.03510204081632653,3
2,50,2,300,0.0008,0.03510204081632653,4
2,50,2,300,0.0008,0.03510204081632653,5
2,50,2,300,0.0008,0.03510204081632653,6
2,50,2,300,0.0008,0.03510204081632653,8
2,50,2,300,0.0008,0.03510204081632653,11
2,50,2,300,0.0008,0.03510204081632653,14
2,50,2,300,0.0008,0.03489795918367347,18
2,50,2,300,0.0008,0.03489795918367347,23
2,50,2,300,0.0008,0.03489795918367347,29
2,50,2,300,0.0008,0.03469387755102041,37
2,50,2,300,0.0008,0.03469387755102041,48
2,50,2,300,0.0008,0.03469387755102041,61
2,50,2,300,0.0008,0.03469387755102041,78
2,50,2,300,0.0008,0.03469387755102041,100
2,50,2,300,0.0008,0.03469387755102041,127
2,50,2,300,0.0008,0.034489795918367344,162
2,50,2,300,0.0008,0.034081632653061224,206
2,50,2,300,0.0008,0.034081632653061224,263
2,50,2,300,0.0008,0.0336734693877551,335
2,50,2,300,0.0008,0.0336734693877551,428
2,50,2,300,0.0008,0.03346938775510204,545
2,50,2,300,0.0008,0.03306122448979592,695
2,50,2,300,0.0008,0.03183673469387755,885
2,50,2,300,0.0008,0.031224489795918367,1128
2,50,2,300,0.0008,0.03,1438
2,50,2,300,0.0012,0.029183673469387755,1832
2,50,2,300,0.0012,0.02857142857142857,2335
2,50,2,300,0.0012,0.026530612244897958,2976
2,50,2,300,0.0012,0.02469387755102041,3792
2,50,2,300,0.0012,0.022244897959183673,4832
2,50,2,300,0.0012,0.02,6158
2,50,2,300,0.0012,0.0163265306122449,7847
2,50,2,300,0.0012,0.013061224489795919,10000
2,50,2,300,0.0012,0.010816326530612244,12742
2,50,2,300,0.0012,0.008979591836734694,16237
2,50,2,300,0.0016,0.005918367346938775,20691
2,50,2,300,0.0016,0.0032653061224489797,26366
2,50,2,300,0.0016,0.0016326530612244899,33598
2,50,2,300,0.0016,0.0010204081632653062,42813
2,50,2,300,0.0016,0.0008163265306122449,54555
2,50,2,300,0.0016,0.0008163265306122449,69519
2,50,2,300,0.0016,0.0008163265306122449,88586
2,50,2,300,0.0016,0.0008163265306122449,112883
2,50,2,300,0.0016,0.0008163265306122449,143844
2,50,2,300,0.0016,0.0008163265306122449,183298
2,50,2,300,0.0016,0.0008163265306122449,233572
2,50,2,300,0.0016,0.0008163265306122449,297635
2,50,2,300,0.0016,0.0008163265306122449,379269
2,50,2,300,0.0016,0.0008163265306122449,483293
2,50,2,300,0.0016,0.0008163265306122449,615848
2,50,2,300,0.0016,0.0008163265306122449,784759
2,50,2,300,0.0016,0.0008163265306122449,1000000
2,50,2,300,0.0016,0.0008163265306122449,1274274
2,50,2,300,0.0016,0.0008163265306122449,1623776
2,50,2,300,0.0016,0.0008163265306122449,2069138
2,50,2,300,0.0016,0.0008163265306122449,2636650
2,50,2,300,0.0016,0.0008163265306122449,3359818
2,50,2,300,0.0016,0.0008163265306122449,4281332
2,50,2,300,0.0016,0.0008163265306122449,5455594
2,50,2,300,0.0016,0.0008163265306122449,6951927
2,50,2,300,0.0016,0.0008163265306122449,8858667
2,50,2,300,0.0016,0.0008163265306122449,11288378
2,50,2,300,0.0016,0.0008163265306122449,14384498
2,50,2,300,0.0016,0.0008163265306122449,18329807
2,50,2,300,0.0016,0.0008163265306122449,23357214
2,50,2,300,0.0016,0.0008163265306122449,29763514
2,50,2,300,0.0016,0.0008163265306122449,37926901
2,50,2,300,0.0016,0.0008163265306122449,48329302
2,50,2,300,0.0016,0.0008163265306122449,61584821
2,50,2,300,0.0016,0.0008163265306122449,78475997
2,50,2,300,0.0016,0.0008163265306122449,100000000
2,50,2,300,0.0016,0.0008163265306122449,127427498
2,50,2,300,0.0016,0.0008163265306122449,162377673
2,50,2,300,0.0016,0.0008163265306122449,206913808
