mc,F,q,s_max_den,n_density,iteration
3,2,1,0.092,0.0,993327
3,2,1,0.092,0.0,1197110
3,2,1,0.092,0.0,1442699
3,2,1,0.092,0.0,1738672
3,2,1,0.092,0.0,2095364
3,2,1,0.092,0.0,2525232
3,2,1,0.092,0.0,3043288
3,2,1,0.092,0.0,3667625
3,2,1,0.092,0.0,4420045
3,2,1,0.092,0.0,5326826
3,2,1,0.092,0.0,6419634
3,2,1,0.092,0.0,7736635
3,2,1,0.092,0.0,9323820
3,2,1,0.092,0.0,11236619
3,2,1,0.092,0.0,13541833
3,2,1,0.092,0.0,16319966
3,2,1,0.092,0.0,19668038
3,2,1,0.092,0.0,23702974
3,2,1,0.092,0.0,28565684
3,2,1,0.092,0.0,34425988
3,2,1,0.092,0.0,41488545
3,2,1,0.092,0.0,49999999
0,2,2,0.01,0.33733733733733734,1
0,2,2,0.01,0.33733733733733734,2
0,2,2,0.01,0.33733733733733734,3
0,2,2,0.01,0.33733733733733734,4
0,2,2,0.01,0.33733733733733734,5
0,2,2,0.01,0.33733733733733734,6
0,2,2,0.01,0.33733733733733734,7
0,2,2,0.01,0.3383383383383383,9
0,2,2,0.01,0.3383383383383383,11
0,2,2,0.01,0.33733733733733734,13
0,2,2,0.01,0.33733733733733734,16
0,2,2,0.01,0.33633633633633636,19
0,2,2,0.011,0.3353353353353353,23
0,2,2,0.011,0.3353353353353353,28
0,2,2,0.013,0.33133133133133136,34
0,2,2,0.013,0.33133133133133136,41
0,2,2,0.014,0.3303303303303303,50
0,2,2,0.014,0.32932932932932935,60
0,2,2,0.015,0.3253253253253253,73
0,2,2,0.015,0.32432432432432434,88
0,2,2,0.017,0.3213213213213213,106
0,2,2,0.018,0.3173173173173173,127
0,2,2,0.018,0.31431431431431434,154
0,2,2,0.018,0.3133133133133133,185
0,2,2,0.019,0.30930930930930933,223
0,2,2,0.02,0.3023023023023023,269
0,2,2,0.023,0.2922922922922923,325
0,2,2,0.024,0.2852852852852853,392
0,2,2,0.027,0.27927927927927926,472
0,2,2,0.027,0.2752752752752753,569
0,2,2,0.033,0.25925925925925924,686
0,2,2,0.037,0.24124124124124124,826
0,2,2,0.039,0.22322322322322322,996
0,2,2,0.045,0.2042042042042042,1201
0,2,2,0.048,0.17917917917917917,1447
0,2,2,0.051,0.17017017017017017,1744
0,2,2,0.057,0.15115115115115116,2102
0,2,2,0.064,0.13113113113113112,2533
0,2,2,0.069,0.11711711711711711,3053
0,2,2,0.073,0.0920920920920921,3679
0,2,2,0.079,0.07207207207207207,4434
0,2,2,0.081,0.05205205205205205,5344
0,2,2,0.084,0.04604604604604605,6441
0,2,2,0.092,0.03003003003003003,7762
0,2,2,0.098,0.01701701701701702,9355
0,2,2,0.103,0.009009009009009009,11274
0,2,2,0.106,0.005005005005005005,13587
0,2,2,0.106,0.001001001001001001,16374
0,2,2,0.106,0.0,19733
0,2,2,0.106,0.0,23782
0,2,2,0.106,0.0,28661
0,2,2,0.106,0.0,34541
0,2,2,0.106,0.0,41627
0,2,2,0.106,0.0,50167
0,2,2,0.106,0.0,60459
0,2,2,0.106,0.0,72863
0,2,2,0.106,0.0,87811
0,2,2,0.106,0.0,105825
0,2,2,0.106,0.0,127535
0,2,2,0.106,0.0,153700
0,2,2,0.106,0.0,185232
0,2,2,0.106,0.0,223232
0,2,2,0.106,0.0,269029
0,2,2,0.106,0.0,324221
0,2,2,0.106,0.0,390736
0,2,2,0.106,0.0,470896
0,2,2,0.106,0.0,567501
0,2,2,0.106,0.0,683925
0,2,2,0.106,0.0,824234
0,2,2,0.106,0.0,993327
0,2,2,0.106,0.0,1197110
0,2,2,0.106,0.0,1442699
0,2,2,0.106,0.0,1738672
0,2,2,0.106,0.0,2095364
0,2,2,0.106,0.0,2525232
0,2,2,0.106,0.0,3043288
0,2,2,0.106,0.0,3667625
0,2,2,0.106,0.0,4420045
0,2,2,0.106,0.0,5326826
0,2,2,0.106,0.0,6419634
0,2,2,0.106,0.0,7736635
0,2,2,0.106,0.0,9323820
0,2,2,0.106,0.0,11236619
0,2,2,0.106,0.0,13541833
0,2,2,0.106,0.0,16319966
0,2,2,0.106,0.0,19668038
0,2,2,0.106,0.0,23702974
0,2,2,0.106,0.0,28565684
0,2,2,0.106,0.0,34425988
0,2,2,0.106,0.0,41488545
0,2,2,0.106,0.0,49999999
1,2,2,0.012,0.3303303303303303,1
1,2,2,0.012,0.3263263263263263,2
1,2,2,0.012,0.3263263263263263,3
1,2,2,0.012,0.3263263263263263,4
1,2,2,0.012,0.3263263263263263,5
1,2,2,0.012,0.3263263263263263,6
1,2,2,0.012,0.3263263263263263,7
1,2,2,0.012,0.3263263263263263,9
1,2,2,0.012,0.3263263263263263,11
1,2,2,0.012,0.3263263263263263,13
1,2,2,0.012,0.3263263263263263,16
1,2,2,0.012,0.3263263263263263,19
1,2,2,0.012,0.3263263263263263,23
1,2,2,0.012,0.3263263263263263,28
1,2,2,0.014,0.3233233233233233,34
1,2,2,0.014,0.3233233233233233,41
1,2,2,0.014,0.3213213213213213,50
1,2,2,0.014,0.3213213213213213,60
1,2,2,0.014,0.3173173173173173,73
1,2,2,0.014,0.3163163163163163,88
1,2,2,0.014,0.3113113113113113,106
1,2,2,0.014,0.3073073073073073,127
1,2,2,0.014,0.3023023023023023,154
1,2,2,0.014,0.2952952952952953,185
1,2,2,0.014,0.28928928928928926,223
1,2,2,0.015,0.2862862862862863,269
1,2,2,0.017,0.2772772772772773,325
1,2,2,0.018,0.26926926926926925,392
1,2,2,0.019,0.26226226226226224,472
1,2,2,0.02,0.25125125125125125,569
1,2,2,0.021,0.24124124124124124,686
1,2,2,0.021,0.2222222222222222,826
1,2,2,0.026,0.2082082082082082,996
1,2,2,0.026,0.1891891891891892,1201
1,2,2,0.029,0.17417417417417416,1447
1,2,2,0.031,0.15315315315315314,1744
1,2,2,0.045,0.12312312312312312,2102
1,2,2,0.048,0.1111111111111111,2533
1,2,2,0.051,0.0890890890890891,3053
1,2,2,0.065,0.09309309309309309,3679
1,2,2,0.074,0.08208208208208208,4434
1,2,2,0.092,0.06606606606606606,5344
1,2,2,0.113,0.06806806806806807,6441
1,2,2,0.138,0.055055055055055056,7762
1,2,2,0.172,0.028028028028028028,9355
1,2,2,0.189,0.01701701701701702,11274
1,2,2,0.208,0.009009009009009009,13587
1,2,2,0.216,0.003003003003003003,16374
1,2,2,0.219,0.002002002002002002,19733
1,2,2,0.221,0.0,23782
1,2,2,0.221,0.0,28661
1,2,2,0.221,0.0,34541
1,2,2,0.221,0.0,41627
1,2,2,0.221,0.0,50167
1,2,2,0.221,0.0,60459
1,2,2,0.221,0.0,72863
1,2,2,0.221,0.0,87811
1,2,2,0.221,0.0,105825
1,2,2,0.221,0.0,127535
1,2,2,0.221,0.0,153700
1,2,2,0.221,0.0,185232
1,2,2,0.221,0.0,223232
1,2,2,0.221,0.0,269029
1,2,2,0.221,0.0,324221
1,2,2,0.221,0.0,390736
1,2,2,0.221,0.0,470896
1,2,2,0.221,0.0,567501
1,2,2,0.221,0.0,683925
1,2,2,0.221,0.0,824234
1,2,2,0.221,0.0,993327
1,2,2,0.221,0.0,1197110
1,2,2,0.221,0.0,1442699
1,2,2,0.221,0.0,1738672
1,2,2,0.221,0.0,2095364
1,2,2,0.221,0.0,2525232
1,2,2,0.221,0.0,3043288
1,2,2,0.221,0.0,3667625
1,2,2,0.221,0.0,4420045
1,2,2,0.221,0.0,5326826
1,2,2,0.221,0.0,6419634
1,2,2,0.221,0.0,7736635
1,2,2,0.221,0.0,9323820
1,2,2,0.221,0.0,11236619
1,2,2,0.221,0.0,13541833
1,2,2,0.221,0.0,16319966
1,2,2,0.221,0.0,19668038
1,2,2,0.221,0.0,23702974
